(-0.002264892105571459+0j),(0.0010487838989759722+0j),(0.014825549760583269+0j),(-0.33035474289890787+0j),(-0.06416635508854933+0j),(-0.5444208303656571+0j),(-0.7447605016234894+0j),(0.03989121031610159+0j),(0.165245381683128+0j),(0.05238565224488738+0j),(0.036129042119199206+0.025614333403995146j),(0.013481929297707753-0.04011875279408075j),(0.008116089082270385-1.5213160892491428e-19j),(-2.7280543052377783e-17-8.106832145738839e-18j)
-0j,0j,(-1.3248781141183413e-16+0j),(1.4094628242311558e-17+0j),(-1.5395670849294163e-17+0j),(1.0950441942103595e-17+0j),(9.324138683375338e-18+0j),(5.117434254131581e-17+0j),(-4.228388472693467e-17+0j),(1.973247953923618e-17+0j),(-1.6967763999398144e-17-6.808789643208968e-17j),(1.5130041317035214e-16+9.606031248221569e-17j),(-2.6020852139652106e-17-3.804925413575722e-17j),(-1.0000000000000002-7.740403223413446e-18j)
(-0.0022448445631915357-0j),(0.0048712177747242645+0j),(-0.001135352617646001+0j),(0.35542565383920505+0j),(0.2887721673497748+0j),(-0.445265043337794+0j),(0.11784037423409366+0j),(-0.20327892888393626+0j),(0.020738971664354178+0j),(-0.568336490727752+0j),(-0.08976812529805504+0.19305127301962063j),(-0.09866569309301493-0.39428805749451423j),(-0.053122255661666395+1.979082029441465e-18j),(-2.5072864446753544e-16-6.687650018417487e-17j)
(-0.0029369022882609203-0j),(-0.0026379226831812473+0j),(0.0010447159518302638+0j),(-0.3694853684973068+0j),(-0.2920534083510496+0j),(0.42171480013288265+0j),(-0.12644036085342816+0j),(0.1080766957388735+0j),(0.16794625979075697+0j),(-0.7285831962251218+0j),(-0.04859277462208634+0.016045852501893356j),(-0.030952638240427037-0.04321425786452039j),(0.09040961776585495+1.5178110660996469e-18j),(-2.1692037373267283e-16-3.1823573982505608e-18j)
(-0.0005879578284810599-0j),(-0.000458311521098217+0j),(-0.012901060709986043+0j),(0.12374871854267513+0j),(-0.0922458388742559+0j),(-0.4006174168944521+0j),(0.2984868460633351+0j),(0.2286655527317905+0j),(0.3762005771288812+0j),(-0.20878947597196099+0j),(0.12082066217825915-0.27358184969515725j),(0.1362869308298837+0.5571405279553835j),(0.2656859875002348-9.677560039398249e-19j),(-5.61776760972596e-17+1.000842183936562e-16j)
(-0.003987549275371776-0j),(0.0026654432872392914+0j),(-0.0009267955452548203+0j),(-0.24167922749405865+0j),(-0.3901126622003623+0j),(-0.2758373667804362+0j),(0.318727200394179+0j),(0.12152788905025769+0j),(-0.0439324220089081+0j),(0.14312256052429484+0j),(-0.6521645250049041-0.012690171455149902j),(-0.35752216662701725-0.14114689191708535j),(0.03603901792011976+7.775671348182328e-18j),(4.022378413066333e-17+6.555499104547312e-19j)
(-0.0011941975760806774-0j),(-0.0004321481956959663+0j),(0.000836158879438178+0j),(0.2276195128359338+0j),(0.3868314211990447+0j),(0.25228712357572375+0j),(-0.3273271870138625+0j),(-0.21673012219458643+0j),(0.23261765347457924+0j),(0.010639650376677917+0j),(-0.5406521621035076-0.20844261439755118j),(-0.24614292474391883+0.2638594470090525j),(0.24616917973462604+6.979042657144785e-18j),(6.453173463285046e-17+7.300816184369742e-17j)
(-0.4843633567863417-0j),(-0.8647331051791597+0j),(0.1322924258754039+0j),(-0.0014161006579506696+0j),(0.0048981771155668825+0j),(-0.002301748380096169+0j),(0.006288953012647203+0j),(-0.0025692437909712526+0j),(0.00519692053838737+0j),(0.0026491674770218014+0j),(0.0012258952374809284+0.0018526104478700234j),(0.00020777365098343-0.003253849678528181j),(0.0006857352699860698+5.941075947179956e-21j),(-4.572730452930507e-16-5.933818197910192e-19j)
(-0.7463309755487181-0j),(0.32953431706830183+0j),(-0.5779905883022658+0j),(0.0022159277376899156+0j),(0.0014687586495688507+0j),(0.0036279533957833676+0j),(-0.011391232309447497+0j),(0.010333776055751458+0j),(-0.0006826199626045193+0j),(0.004579589887889569+0j),(0.00165814527372133+0.002831350134381811j),(0.00019839615441867228-0.005027551114058032j),(-0.0031291653922626336-2.710891358549039e-20j),(2.0173030032337385e-16-1.0258869598385192e-18j)
(-0.4562649777243946-0j),(0.37873640271153763+0j),(0.8049981521312077+0j),(0.007275207054132121+0j),(0.0021751531382515517+0j),(0.00428078385816566+0j),(0.01151582399120371+0j),(0.009263461978020688+0j),(0.00016272866461841673+0j),(-0.0015522446219656191+0j),(0.0020557242779773582-0.0031191891180261475j),(0.0019290000796995744+0.00652430692864106j),(0.0013756998436492275-3.418081229407304e-20j),(1.5411442508552462e-16+1.0993801748295303e-18j)
(-0.0007451974829751667-0j),(0.004676542487706417+0j),(0.0019882311148605204+0j),(0.2789874066624914+0j),(-0.44574371018176184+0j),(0.10916964054510572+0j),(0.0039035855673954086+0j),(-0.3439002533916708+0j),(0.6573821804685802+0j),(0.22065213344249857+0j),(0.10696874122233699+0.1531769486699794j),(0.020282050633978522-0.2676096220789783j),(0.07403448416309473+5.869205844948815e-19j),(-5.206198773149031e-17-4.8534468584215173e-17j)
(-0.0001429228184593178-0j),(0.007083499193468408+0j),(-0.0018843765720776046+0j),(-0.450307250381197+0j),(0.38473556045470064+0j),(0.00031153750995862944+0j),(0.2523535979774214+0j),(-0.14325882152699354+0j),(0.464523538282376+0j),(0.04176324261621124+0j),(-0.029291745926603857-0.034725582676591704j),(-0.0073867849026347+0.059387797751998914j),(-0.5846118562456226-5.33248315714133e-18j),(2.6016961938435982e-17-5.004675019732128e-18j)
(0.00013040898526881813+0j),(-0.007385019618287463+0j),(0.001686010499804584+0j),(0.42140623909980596+0j),(-0.3545270225642396+0j),(0.008012786483167007+0j),(-0.22158215319281446+0j),(0.07801395746893312+0j),(-0.09078679156823652+0j),(-0.13404619492723968+0j),(-0.13602025639823206-0.15070273477518523j),(-0.03697999134370979+0.2554729601438484j),(-0.7122945594376949-6.1426739388589034e-18j),(6.505567993763233e-17+2.9546098708373844e-17j)
(-0.01293924567750298-0j),(0.006054310996816912+0j),(-0.0017462886698467954+0j),(-0.2103140947439343+0j),(-0.210791820117139+0j),(-0.12350372552722004+0j),(0.06734694763001525+0j),(-0.8284328796605593+0j),(-0.3004776485736251+0j),(-0.10390030394789916+0j),(0.04444014992113428-0.13866736652835635j),(0.0597859614444785+0.2781267911970827j),(0.0427002936436791-1.147923911086326e-18j),(1.3235415394027225e-16+4.8022914664466883e-17j)
